Apodo,Nombre,Fecha,Ciudad,Provincia,País,PJ,PT,PC,PS,PX,PG,PE,PP,Min,G,GP,GPP,GE,TA,TR,EI,EF,Altura,Peso
Marcos Vales,Marcos Vales Illanes,05/04/1975,A Coruña,A Coruña,España,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,23,23,181.0,77.0
Acuña,Juan Acuña Naya,13/02/1923,A Coruña,A Coruña,España,1,0,0,1,0,1,0,0,16,0,0,0,1,0,0,18,18,179.0,88.0
Martín,José María Martín Rodríguez,25/04/1924,A Coruña,A Coruña,España,1,1,1,0,0,1,0,0,90,0,0,0,0,0,0,28,28,176.0,74.0
Casilla,Francisco Casilla Cortés,02/10/1986,Alcover,Tarragona,España,1,0,0,1,0,0,0,1,13,0,0,0,1,0,0,28,28,192.0,83.0
Juan Sánchez,Juan Ginés Sánchez Romero,15/05/1972,Aldaia,Valencia,España,1,0,0,1,0,0,1,0,12,0,0,0,0,0,0,26,26,173.0,72.0
Cucurella,Marc Cucurella Saseta,22/07/1998,Alella,Barcelona,España,1,1,0,0,1,1,0,0,46,0,0,0,0,0,0,22,22,172.0,68.0
Piquer,Vicente Piquer Mora,24/02/1935,Algar de Palancia,Valencia,España,1,1,1,0,0,0,1,0,90,0,0,0,0,0,0,26,26,173.0,71.0
Ito,Antonio Álvarez Pérez,21/01/1975,Almendralejo,Badajoz,España,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,23,23,175.0,70.0
Planas II,Javier Planas Abad,03/07/1949,Almudévar,Huesca,España,1,1,1,0,0,1,0,0,90,0,0,0,0,1,0,25,25,174.0,74.0
Josep Martínez,Josep Martínez Riera,27/05/1998,Alzira,Valencia,España,1,0,0,1,0,1,0,0,22,0,0,0,0,0,0,23,23,191.0,78.0
Etxeita,Xabier Etxeita Gorritxategi,31/10/1987,Amorebieta-Etxano,Bizkaia,España,1,1,1,0,0,1,0,0,90,0,0,0,0,0,0,27,27,186.0,80.0
Chuzo,Antonio González Álvarez,28/01/1940,Antequera,Málaga,España,1,0,0,1,0,0,0,1,48,0,0,0,0,0,0,20,20,172.0,72.0
Álvaro Fernández,Álvaro Fernández Llorente,13/04/1998,Arnedo,La Rioja,España,1,1,0,0,1,1,0,0,68,0,0,0,0,0,0,23,23,186.0,80.0
Solana,Jesús Ángel Solana Bermejo,25/12/1964,Arnedo,La Rioja,España,1,0,0,1,0,1,0,0,6,0,0,0,0,0,0,23,23,179.0,74.0
Escalza,Francisco Javier Escalza Ellacuria,10/12/1952,Arrankudiaga,Bizkaia,España,1,1,1,0,0,0,0,1,90,0,0,0,0,0,0,25,25,177.0,70.0
López Rekarte,Aitor López Rekarte,18/08/1975,Arrasate,Gipuzkoa,España,1,1,1,0,0,0,1,0,59,0,0,0,0,0,0,29,29,173.0,71.0
Lopetegui,Julen Lopetegi Agote,28/08/1966,Asteasu,Gipuzkoa,España,1,0,0,1,0,0,0,1,26,0,0,0,0,0,0,27,27,185.0,84.0
Larrañaga,Jon Andoni Larrañaga Gurrutxaga,03/07/1958,Azpeitia,Gipuzkoa,España,1,1,1,0,0,0,0,1,90,0,0,0,0,0,0,29,29,177.0,75.0
Ochoa,Miguel Ángel Ochoa Vaca,29/09/1944,Badajoz,Badajoz,España,1,1,1,0,0,0,1,0,90,0,0,0,0,0,0,29,29,174.0,72.0
Lezama,Raimundo Pérez Lezama,29/11/1922,Barakaldo,Bizkaia,España,1,0,0,1,0,0,0,1,42,0,0,0,2,0,0,24,24,178.0,76.0
Canito,Nicanor Sagarduy Gonzalo,18/03/1931,Barakaldo,Bizkaia,España,1,1,1,0,0,0,1,0,90,0,0,0,0,0,0,25,25,170.0,66.0
Puado,Javier Puado Díaz,25/05/1998,Barcelona,Barcelona,España,1,0,0,1,0,1,0,0,37,1,0,0,0,0,0,23,23,177.0,69.0
Raya,David Raya Martín,15/09/1995,Barcelona,Barcelona,España,1,1,1,0,0,1,0,0,90,0,0,0,1,0,0,26,26,183.0,80.0
Tello,Cristian Tello Herrera,11/08/1991,Barcelona,Barcelona,España,1,1,1,0,0,1,0,0,90,0,0,0,0,0,0,22,22,178.0,66.0
Argila,Fernando de Argila Pazzaglia,26/12/1920,Barcelona,Barcelona,España,1,1,1,0,0,1,0,0,90,0,0,0,1,0,0,33,33,180.0,80.0
Manchón,Eduardo Manchón Molina,24/07/1930,Barcelona,Barcelona,España,1,1,1,0,0,0,0,1,90,0,0,0,0,0,0,23,23,168.0,62.0
Fortes,Francisco Fortes Calvo,04/01/1955,Barcelona,Barcelona,España,1,0,0,1,0,0,1,0,14,0,0,0,0,0,0,20,20,170.0,70.0
